           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2013-03-08T20:19:32Z           0           0            0           0(NaN)       0(0)             0             0        45081         87460            0          -1           0
2013-03-08T20:19:32Z CRAWL RUNNING - Preparing
2013-03-08T20:19:33Z CRAWL RUNNING - Running
2013-03-08T20:19:52Z           2           1            1       0.05(0.05)       0(0)             0             0        51348         87460            1           1           1
2013-03-08T20:20:12Z          69          65            6       0.25(0.15)       0(0)             0             1        62898         96184            7          26           4
2013-03-08T20:20:32Z         887         684          209      10.15(3.48)     90(30)             0            25        54942         99328         1.13         185           8
2013-03-08T20:20:52Z         908         555          362       7.65(4.53)    186(69)             1             3        68577         99328            1         178          14
2013-03-08T20:21:12Z        1095         565          538        8.8(5.38)    139(83)             2            12        64851         99328            1         186          12
2013-03-08T20:21:32Z        1409         659          758         11(6.32)    143(93)             6            25        66868         99328         1.84         181           7
2013-03-08T20:21:52Z        1440         557          877       5.95(6.26)   198(108)            22            19        71245         99328         1.02         176          10
2013-03-08T20:22:12Z        1467         528          932       2.75(5.83)    99(107)            23             1        76248         99328            1         193          15
2013-03-08T20:22:32Z        1467         493          967       1.75(5.37)    44(100)            23             2        64312         99328            1         187          14
2013-03-08T20:22:52Z        1467         466          994       1.35(4.97)     36(94)            23             1        78022         99328            1         181          13
2013-03-08T20:23:12Z        1467         437         1023       1.45(4.65)     47(89)            23             1        67131         99328            1         174          13
2013-03-08T20:23:32Z        1467         413         1047        1.2(4.36)     52(86)            23             1        66774         99328            1         168          12
2013-03-08T20:23:52Z        1467         396         1064       0.85(4.09)     33(82)            23             0        68648         99328            1         165          12
2013-03-08T20:24:12Z        1468         372         1089       1.25(3.89)     13(77)            23             0        63190         99328            1         158          12
2013-03-08T20:24:32Z        1468         349         1112       1.15(3.71)      9(73)            23             0        69944         99328            1         152          11
2013-03-08T20:24:52Z        1469         328         1134        1.1(3.54)     10(69)            23             0        77108         99328            1         146          11
2013-03-08T20:25:12Z        1469         317         1145       0.55(3.37)      7(65)            23             1        64881         99328            1         141          11
2013-03-08T20:25:32Z        1469         305         1157        0.6(3.21)      5(62)            23             0        70014         99328            1         135          10
2013-03-08T20:25:52Z        1469         293         1169        0.6(3.08)      8(59)            23             0        74879         99328            1         130          10
2013-03-08T20:26:12Z        1469         287         1175        0.3(2.94)      1(56)            23             0        76691         99328            1         130          10
2013-03-08T20:26:32Z        1469         281         1181        0.3(2.81)      0(53)            23             0        78693         99328            1         130          10
2013-03-08T20:26:52Z        1469         275         1187         0.3(2.7)      0(51)            23             0        63227         99328            1         130          10
2013-03-08T20:27:12Z        1469         268         1194        0.35(2.6)      2(49)            23             0        65200         99328            1         130           9
2013-03-08T20:27:32Z        1469         262         1200         0.3(2.5)      3(47)            23             0        67013         99328            1         130           9
2013-03-08T20:27:52Z        1469         256         1206        0.3(2.41)      4(45)            23             0        68863         99328            1         130           9
2013-03-08T20:28:12Z        1469         251         1211       0.25(2.33)      0(43)            23             0        70583         99328            1         130           9
2013-03-08T20:28:32Z        1469         245         1217        0.3(2.25)      0(42)            23             0        72399         99328            1         130           9
2013-03-08T20:28:52Z        1469         238         1224       0.35(2.19)      0(40)            23             0        74468         99328            1         130           8
2013-03-08T20:29:12Z        1469         234         1228        0.2(2.12)      3(39)            23             0        76001         99328            1         130           8
2013-03-08T20:29:32Z        1469         228         1234        0.3(2.06)      0(38)            23             1        77893         99328            1         130           8
2013-03-08T20:29:52Z        1469         222         1240           0.3(2)      8(37)            23             0        65992         99328            1         130           8
2013-03-08T20:30:12Z        1469         219         1243       0.15(1.94)      2(36)            23             0        67799         99328            1         130           8
2013-03-08T20:30:32Z        1469         212         1250       0.35(1.89)      3(35)            23             0        70051         99328            1         130           7
2013-03-08T20:30:52Z        1469         206         1256        0.3(1.85)      2(34)            23             0        71886         99328            1         130           7
2013-03-08T20:31:12Z        1469         200         1262         0.3(1.8)      1(33)            23             0        73628         99328            1         130           7
2013-03-08T20:31:32Z        1469         193         1269       0.35(1.76)      5(32)            23             0        75678         99328            1         130           7
2013-03-08T20:31:52Z        1469         187         1275        0.3(1.72)      2(31)            23             0        62628         99328            1         130           6
2013-03-08T20:32:12Z        1469         181         1281        0.3(1.69)      8(31)            23             0        67545         99328            1         130           6
2013-03-08T20:32:32Z        1469         174         1288       0.35(1.65)      1(30)            23             0        69739         99328            1         130           6
2013-03-08T20:32:52Z        1469         168         1294        0.3(1.62)      0(29)            23             0        71515         99328            1         130           6
2013-03-08T20:33:12Z        1469         165         1297       0.15(1.58)      3(28)            23             0        73848         99328            1         130           6
2013-03-08T20:33:32Z        1469         165         1297          0(1.54)      0(28)            23             0        74589         99328            1         130           6
2013-03-08T20:33:52Z        1469         165         1297          0(1.51)      0(27)            23             0        75334         99328            1         130           6
2013-03-08T20:34:12Z        1469         165         1297          0(1.47)      0(26)            23             0        76167         99328            1         130           6
2013-03-08T20:34:32Z        1469         165         1297          0(1.44)      0(26)            23             0        76922         99328            1         130           6
2013-03-08T20:34:52Z        1469         165         1297          0(1.41)      0(25)            23             0        77673         99328            1         130           6
2013-03-08T20:35:12Z        1469         165         1297          0(1.38)      0(25)            23             0        78473         99328            1         130           6
2013-03-08T20:35:32Z        1469         165         1297          0(1.35)      0(24)            23             0        62629         99328            1         130           6
2013-03-08T20:35:52Z        1469         165         1297          0(1.32)      0(24)            23             0        63379         99328            1         130           6
2013-03-08T20:36:12Z        1469         165         1297           0(1.3)      0(23)            23             1        64250         99328            1         130           6
2013-03-08T20:36:32Z        1469         163         1299        0.1(1.27)      1(23)            23             1        67413         99328            1         130           6
2013-03-08T20:36:52Z        1469         163         1299          0(1.25)      0(22)            23             4        68773         99328            1         130           6
2013-03-08T20:37:12Z        1469         163         1299          0(1.23)      0(22)            23            16        71065         99328            1         130           6
2013-03-08T20:37:32Z        1469         163         1299           0(1.2)      0(22)            23             1        73889         99328            1         130           6
2013-03-08T20:37:52Z        1469         163         1299          0(1.18)      0(21)            23             0        74684         99328            1         130           6
2013-03-08T20:38:12Z        1469         159         1303        0.2(1.16)      8(21)            23             0        69189         99328            1         126           6
2013-03-08T20:38:32Z        1469         156         1306       0.15(1.15)      4(21)            23             0        75897         99328            1         123           6
2013-03-08T20:38:52Z        1469         152         1310        0.2(1.13)      4(20)            23             0        64545         99328            1         119           6
2013-03-08T20:39:12Z        1469         146         1316        0.3(1.12)      8(20)            23             0        77064         99328            1         113           5
2013-03-08T20:39:32Z        1469         143         1319        0.15(1.1)      9(20)            23             0        73051         99328            1         110           5
2013-03-08T20:39:52Z        1469         138         1324       0.25(1.09)      6(20)            23             0        65457         99328            1         105           5
2013-03-08T20:40:12Z        1474         135         1332        0.4(1.07)      8(19)            23             1        65400         99328            1         101           5
2013-03-08T20:40:32Z        1475         130         1338        0.3(1.06)      6(19)            23             0        75170         99328            1          97           5
2013-03-08T20:40:52Z        1475         125         1343       0.25(1.05)      6(19)            23             1        69214         99328            1          92           5
2013-03-08T20:41:12Z        1475         123         1345        0.1(1.03)      9(19)            23             0        64428         99328            1          90           4
2013-03-08T20:41:32Z        1475         121         1347        0.1(1.02)      2(19)            23             0        69114         99328            1          88           4
2013-03-08T20:41:52Z        1475         120         1348       0.05(1.01)      1(18)            23             0        71868         99328            1          87           4
2013-03-08T20:42:12Z        1475         117         1351       0.15(0.99)      4(18)            23             0        78647         99328            1          84           4
2013-03-08T20:42:32Z        1475         115         1353        0.1(0.98)      2(18)            23             0        66385         99328            1          82           4
2013-03-08T20:42:52Z        1475         114         1354       0.05(0.97)      1(18)            23             1        69282         99328            1          81           4
2013-03-08T20:43:12Z        1475         111         1357       0.15(0.96)      4(17)            23             1        75975         99328            1          78           4
2013-03-08T20:43:32Z        1475         111         1357          0(0.94)      0(17)            23             0        76867         99328            1          78           4
2013-03-08T20:43:52Z        1475         111         1357          0(0.93)      0(17)            23             0        77662         99328            1          78           4
2013-03-08T20:44:12Z        1475         111         1357          0(0.92)      0(17)            23             0        78424         99328            1          78           4
2013-03-08T20:44:32Z        1475         111         1357           0(0.9)      0(17)            23             0        62296         99328            1          78           4
2013-03-08T20:44:52Z        1475         111         1357          0(0.89)      0(16)            23             0        63009         99328            1          78           4
2013-03-08T20:45:12Z        1475         111         1357          0(0.88)      0(16)            23             0        63830         99328            1          78           4
2013-03-08T20:45:32Z        1475         111         1357          0(0.87)      0(16)            23             0        64559         99328            1          78           4
2013-03-08T20:45:52Z        1475         111         1357          0(0.86)      0(16)            23             0        65382         99328            1          78           4
2013-03-08T20:46:12Z        1475         111         1357          0(0.85)      0(15)            23             0        66096         99328            1          78           4
2013-03-08T20:46:32Z        1475         111         1357          0(0.84)      0(15)            23             0        66935         99328            1          78           4
2013-03-08T20:46:52Z        1475         111         1357          0(0.83)      0(15)            23             0        67692         99328            1          78           4
2013-03-08T20:47:12Z        1475         111         1357          0(0.82)      0(15)            23             0        68530         99328            1          78           4
2013-03-08T20:47:32Z        1475         111         1357          0(0.81)      0(15)            23             0        69285         99328            1          78           4
2013-03-08T20:47:52Z        1475         111         1357           0(0.8)      0(15)            23             0        70065         99328            1          78           4
2013-03-08T20:48:12Z        1475         111         1357          0(0.79)      0(14)            23             0        70822         99328            1          78           4
2013-03-08T20:48:32Z        1475         111         1357          0(0.78)      0(14)            23             0        71630         99328            1          78           4
2013-03-08T20:48:52Z        1475         111         1357          0(0.77)      0(14)            23             0        72408         99328            1          78           4
2013-03-08T20:49:12Z        1475         111         1357          0(0.76)      0(14)            23             0        73175         99328            1          78           4
2013-03-08T20:49:32Z        1475         111         1357          0(0.75)      0(14)            23             0        73917         99328            1          78           4
2013-03-08T20:49:52Z        1475         111         1357          0(0.75)      0(14)            23             0        74739         99328            1          78           4
2013-03-08T20:50:12Z        1475         111         1357          0(0.74)      0(13)            23             0        75507         99328            1          78           4
2013-03-08T20:50:32Z        1475         111         1357          0(0.73)      0(13)            23             0        76439         99328            1          78           4
2013-03-08T20:50:52Z        1475         111         1357          0(0.72)      0(13)            23             0        77179         99328            1          78           4
2013-03-08T20:51:12Z        1475         111         1357          0(0.71)      0(13)            23             0        77998         99328            1          78           4
2013-03-08T20:51:32Z        1475         111         1357          0(0.71)      0(13)            23             1        78825         99328            1          78           4
2013-03-08T20:51:52Z        1475         111         1357           0(0.7)      0(13)            23             1        62617         99328            1          78           4
2013-03-08T20:52:12Z        1475         111         1357          0(0.69)      0(13)            23             4        63774         99328            1          78           4
2013-03-08T20:52:32Z        1475         111         1357          0(0.69)      0(12)            23            16        65885         99328            1          78           4
2013-03-08T20:52:52Z        1475         111         1357          0(0.68)      0(12)            23             1        68107         99328            1          78           4
2013-03-08T20:53:12Z        1475         111         1357          0(0.67)      0(12)            23             0        68973         99328            1          78           4
2013-03-08T20:53:32Z        1475         111         1357          0(0.67)      0(12)            23             0        69763         99328            1          78           4
2013-03-08T20:53:52Z        1475         111         1357          0(0.66)      0(12)            23             0        70531         99328            1          78           4
2013-03-08T20:54:12Z        1475         111         1357          0(0.65)      0(12)            23             0        71327         99328            1          78           4
2013-03-08T20:54:32Z        1475         111         1357          0(0.65)      0(12)            23             0        72102         99328            1          78           4
2013-03-08T20:54:52Z        1475         111         1357          0(0.64)      0(12)            23             0        72873         99328            1          78           4
2013-03-08T20:55:12Z        1475         111         1357          0(0.63)      0(11)            23             0        73662         99328            1          78           4
2013-03-08T20:55:32Z        1475         111         1357          0(0.63)      0(11)            23             0        74433         99328            1          78           4
2013-03-08T20:55:52Z        1475         111         1357          0(0.62)      0(11)            23             0        75199         99328            1          78           4
2013-03-08T20:56:12Z        1475         111         1357          0(0.62)      0(11)            23             0        75969         99328            1          78           4
2013-03-08T20:56:32Z        1475         111         1357          0(0.61)      0(11)            23             0        76760         99328            1          78           4
2013-03-08T20:56:52Z        1475         111         1357          0(0.61)      0(11)            23             0        77492         99328            1          78           4
2013-03-08T20:57:12Z        1475         111         1357           0(0.6)      0(11)            23             0        78299         99328            1          78           4
2013-03-08T20:57:32Z        1475         111         1357           0(0.6)      0(11)            23             0        62176         99328            1          78           4
2013-03-08T20:57:52Z        1475         111         1357          0(0.59)      0(11)            23             0        62969         99328            1          78           4
2013-03-08T20:58:12Z        1475         111         1357          0(0.58)      0(11)            23             0        63756         99328            1          78           4
2013-03-08T20:58:32Z        1475         110         1358       0.05(0.58)      1(10)            23             0        66616         99328            1          77           4
2013-03-08T20:58:52Z        1475         106         1363       0.25(0.58)      5(10)            23             0        75538         99328            1          73           4
2013-03-08T20:59:12Z        1475         101         1368       0.25(0.57)     10(10)            23             0        71929         99328            1          68           4
2013-03-08T20:59:32Z        1475          95         1374        0.3(0.57)      6(10)            23             0        66227         99328            1          62           3
2013-03-08T20:59:52Z        1475          95         1374          0(0.57)      0(10)            23             1        67069         99328            1          62           3
2013-03-08T21:00:12Z        1475          95         1374          0(0.56)      0(10)            23             0        67936         99328            1          62           3
2013-03-08T21:00:32Z        1475          95         1374          0(0.56)      0(10)            23             0        68803         99328            1          62           3
2013-03-08T21:00:52Z        1475          95         1374          0(0.55)      0(10)            23             0        69568         99328            1          62           3
2013-03-08T21:01:12Z        1475          95         1374          0(0.55)      0(10)            23             0        70318         99328            1          62           3
2013-03-08T21:01:32Z        1475          95         1374          0(0.55)      0(10)            23             0        71080         99328            1          62           3
2013-03-08T21:01:52Z        1475          95         1374          0(0.54)      0(10)            23             0        71938         99328            1          62           3
2013-03-08T21:02:12Z        1475          95         1374          0(0.54)      0(10)            23             0        72653         99328            1          62           3
2013-03-08T21:02:32Z        1475          95         1374          0(0.53)      0(10)            23             0        73418         99328            1          62           3
2013-03-08T21:02:52Z        1475          95         1374          0(0.53)      0(10)            23             0        74165         99328            1          62           3
2013-03-08T21:03:12Z        1475          95         1374          0(0.52)       0(9)            23             0        75044         99328            1          62           3
2013-03-08T21:03:32Z        1475          95         1374          0(0.52)       0(9)            23             0        75776         99328            1          62           3
2013-03-08T21:03:52Z        1475          95         1374          0(0.52)       0(9)            23             0        76526         99328            1          62           3
2013-03-08T21:04:12Z        1475          95         1374          0(0.51)       0(9)            23             0        77389         99328            1          62           3
2013-03-08T21:04:32Z        1475          95         1374          0(0.51)       0(9)            23             0        78124         99328            1          62           3
2013-03-08T21:04:52Z        1475          95         1374          0(0.51)       0(9)            23             0        78869         99328            1          62           3
2013-03-08T21:05:12Z        1475          95         1374           0(0.5)       0(9)            23             0        62270         99328            1          62           3
2013-03-08T21:05:32Z        1475          95         1374           0(0.5)       0(9)            23             0        63160         99328            1          62           3
2013-03-08T21:05:52Z        1475          95         1374          0(0.49)       0(9)            23             0        63909         99328            1          62           3
2013-03-08T21:06:12Z        1475          95         1374          0(0.49)       0(9)            23             0        64770         99328            1          62           3
2013-03-08T21:06:32Z        1475          95         1374          0(0.49)       0(9)            23             0        65505         99328            1          62           3
2013-03-08T21:06:52Z        1475          95         1374          0(0.48)       0(9)            23             1        66330         99328            1          62           3
2013-03-08T21:07:12Z        1475          95         1374          0(0.48)       0(9)            23             1        67347         99328            1          62           3
2013-03-08T21:07:32Z        1475          95         1374          0(0.48)       0(9)            23             4        68462         99328            1          62           3
2013-03-08T21:07:52Z        1475          95         1374          0(0.47)       0(8)            23            16        70485         99328            1          62           3
2013-03-08T21:08:12Z        1475          95         1374          0(0.47)       0(8)            23             1        72648         99328            1          62           3
2013-03-08T21:08:32Z        1475          95         1374          0(0.47)       0(8)            23             0        73557         99328            1          62           3
2013-03-08T21:08:52Z        1475          95         1374          0(0.46)       0(8)            23             0        74319         99328            1          62           3
2013-03-08T21:09:12Z        1475          95         1374          0(0.46)       0(8)            23             0        75026         99328            1          62           3
2013-03-08T21:09:32Z        1475          95         1374          0(0.46)       0(8)            23             0        75866         99328            1          62           3
2013-03-08T21:09:52Z        1475          95         1374          0(0.45)       0(8)            23             0        76634         99328            1          62           3
2013-03-08T21:10:12Z        1475          95         1374          0(0.45)       0(8)            23             0        77351         99328            1          62           3
2013-03-08T21:10:32Z        1475          95         1374          0(0.45)       0(8)            23             0        78212         99328            1          62           3
2013-03-08T21:10:52Z        1475          95         1374          0(0.45)       0(8)            23             0        62054         99328            1          62           3
2013-03-08T21:11:12Z        1475          95         1374          0(0.44)       0(8)            23             0        62752         99328            1          62           3
