           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2016-08-01T19:37:21Z           0           0            0           0(NaN)       0(0)             0             0        30824        251392            0          -1           0
2016-08-01T19:37:21Z CRAWL RUNNING - Preparing
2016-08-01T19:37:22Z CRAWL RUNNING - Running
2016-08-01T19:37:41Z          70          51           21       1.05(1.05)     11(11)             0             0        64329        232960            1          47          12
2016-08-01T19:38:01Z         244         121          128        5.35(3.2)     93(52)             0             0        69974        231424            1          51           8
2016-08-01T19:38:21Z         252          82          175       2.35(2.92)     88(64)             0             0        66544        239104            1          45          11
2016-08-01T19:38:41Z         258          55          208        1.65(2.6)    185(94)             0             0        80082        218112            1          38          11
2016-08-01T19:39:01Z         262          37          230         1.1(2.3)     32(82)             0             0        73539        229888            1          31          12
2016-08-01T19:39:21Z         263          27          241       0.55(2.01)      9(70)             0             0        89199        229888            1          25          13
2016-08-01T19:39:41Z         263          20          248       0.35(1.77)     91(73)             0             0        93999        229888            1          18          10
2016-08-01T19:40:01Z         271          19          257       0.45(1.61)      7(64)             0             0        62574        219136            1          15           6
2016-08-01T19:40:21Z         272          11          266       0.45(1.48)      0(57)             0             0        69037        219136            1           9           5
2016-08-01T19:40:41Z         272           4          273       0.35(1.37)      0(52)             0             0        73693        219136            1           2           2
2016-08-01T19:41:01Z         272           2          275        0.1(1.25)      0(47)             0             0        79250        219136            1           0           2
2016-08-01T19:41:21Z         272           2          275          0(1.15)      0(43)             0             0        82257        219136            1           0           2
2016-08-01T19:41:41Z         272           2          275          0(1.06)      0(40)             0             0        85137        219136            1           0           2
2016-08-01T19:42:01Z         272           2          275          0(0.98)      0(37)             0             0        89975        219136            1           0           2
2016-08-01T19:42:21Z         272           2          275          0(0.92)      0(34)             0             0        92781        219136            1           0           2
2016-08-01T19:42:41Z         272           2          275          0(0.86)      0(32)             0             0        95614        219136            1           0           2
2016-08-01T19:43:01Z         272           2          275          0(0.81)      0(30)             0             0        58809        228352            1           0           2
2016-08-01T19:43:21Z         272           2          275          0(0.76)      0(28)             0             0        61576        228352            1           0           2
2016-08-01T19:43:41Z         272           2          275          0(0.72)      0(27)             0             0        64401        228352            1           0           2
2016-08-01T19:44:01Z         272           2          275          0(0.69)      0(26)             0             0        69318        228352            1           0           2
2016-08-01T19:44:21Z         272           2          275          0(0.65)      0(24)             0             0        72214        228352            1           0           2
2016-08-01T19:44:41Z         272           2          275          0(0.63)      0(23)             0             0        75022        228352            1           0           2
2016-08-01T19:45:01Z         272           2          275           0(0.6)      0(22)             0             0        80081        228352            1           0           2
2016-08-01T19:45:21Z         272           2          275          0(0.57)      0(21)             0             0        82895        228352            1           0           2
2016-08-01T19:45:41Z         272           2          275          0(0.55)      0(20)             0             0        85766        228352            1           0           2
2016-08-01T19:46:01Z         272           2          275          0(0.53)      0(20)             0             0        90676        228352            1           0           2
2016-08-01T19:46:21Z         272           2          275          0(0.51)      0(19)             0             0        93619        228352            1           0           2
2016-08-01T19:46:41Z         272           2          275          0(0.49)      0(18)             0             0        96373        228352            1           0           2
2016-08-01T19:47:01Z         272           2          275          0(0.47)      0(17)             0             0        60181        217088            1           0           2
2016-08-01T19:47:21Z         272           2          275          0(0.46)      0(17)             0             0        63113        217088            1           0           2
2016-08-01T19:47:41Z         272           2          275          0(0.44)      0(16)             0             0        65946        217088            1           0           2
2016-08-01T20:08:36Z         272           2          275          0(0.15)       0(5)             0             0        71183        217088            1           0           2
2016-08-01T20:08:36Z         272           2          275          0(0.15)       0(5)             0             0        71198        217088            1           0           2
2016-08-01T20:08:36Z         272           2          275        NaN(0.15)       0(5)             0             0        71213        217088            1           0           2
2016-08-01T20:08:36Z         272           2          275          0(0.15)       0(5)             0             0        71229        217088            1           0           2
