[#urls] [#bytes] [host] [#robots] [#remaining] [#novel-urls] [#novel-bytes] [#dup-by-hash-urls] [#dup-by-hash-bytes] [#not-modified-urls] [#not-modified-bytes]
66 2858253 www.cs.odu.edu 0 0 66 2858253 0 0 0 0 
31 7735 dns: 0 1 31 7735 0 0 0 0 
31 3248266 plus.google.com 0 0 31 3248266 0 0 0 0 
27 280631 www.google.com 0 0 27 280631 0 0 0 0 
17 263186 ssl.gstatic.com 0 0 17 263186 0 0 0 0 
15 960538 www.youtube.com 0 0 15 960538 0 0 0 0 
14 1138574 accounts.google.com 0 0 14 1138574 0 0 0 0 
8 176269 lh3.googleusercontent.com 0 0 8 176269 0 0 0 0 
5 69973 hangouts.google.com 0 0 5 69973 0 0 0 0 
5 135253 maps-api-ssl.google.com 0 0 5 135253 0 0 0 0 
4 754 cs.odu.edu 0 0 4 754 0 0 0 0 
4 4717 docs.google.com 0 0 4 4717 0 0 0 0 
4 491156 fonts.gstatic.com 0 0 4 491156 0 0 0 0 
4 9068 www.w3.org 0 0 4 9068 0 0 0 0 
3 1048 matkelly.com 0 0 3 1048 0 0 0 0 
3 2127 picasaweb.google.com 0 0 3 2127 0 0 0 0 
3 111233 platform.twitter.com 0 0 3 111233 0 0 0 0 
3 2558 s2.googleusercontent.com 0 0 3 2558 0 0 0 0 
2 2560 apis.google.com 0 0 2 2560 0 0 0 0 
2 2298 csi.gstatic.com 0 0 2 2298 0 0 0 0 
2 1143 google.com 0 0 2 1143 0 0 0 0 
2 14603 i.ytimg.com 0 0 2 14603 0 0 0 0 
2 338919 lh6.googleusercontent.com 0 0 2 338919 0 0 0 0 
2 2358 photos.google.com 0 0 2 2358 0 0 0 0 
2 8385 plus.url.google.com 0 0 2 8385 0 0 0 0 
2 2589 plusone.google.com 0 0 2 2589 0 0 0 0 
2 2645 profiles.google.com 0 0 2 2645 0 0 0 0 
2 244068 support.google.com 0 0 2 244068 0 0 0 0 
2 1657 talkgadget.google.com 0 0 2 1657 0 0 0 0 
2 269607 ws-dl.blogspot.com 0 0 2 269607 0 0 0 0 
2 3632 www.gstatic.com 0 0 2 3632 0 0 0 0 
2 2028 youtube.com 0 0 2 2028 0 0 0 0 
0 0 social.google.com 0 1 0 0 0 0 0 0 
